customer_id,customer_name,Transaction_Date,email_address,phone_number,amount,product
1,Brittany,2022-10-27,brittany@yahoo.com,23480487647593,257.3,pick
2,Jason,2022-08-07,jason@gmail.com,23480948924115,241.35,number
3,Anthony,2022-03-20,anthony@yahoo.com,23470593877840,404.46,east
4,Francisco,2023-03-03,francisco@gmail.com,23480609753513,459.34,expect
5,Derek,2022-06-22,derek@gmail.com,23481871158714,280.12,never
6,Victoria,2023-07-03,victoria@gmail.com,23490839894719,400.99,impact
7,Natasha,2022-09-04,natasha@hotmail.com,23481423209471,54.01,prevent
8,Dylan,2023-08-12,dylan@gmail.com,23481018684833,448.57,cultural
9,Denise,2023-04-04,denise@yahoo.com,23490775159179,318.77,trade
10,Bob,2022-05-28,bob@gmail.com,23480413525601,393.73,environmental
11,Michelle,2023-06-26,michelle@gmail.com,23480989101399,68.65,and
12,Nathaniel,2022-03-13,nathaniel@yahoo.com,23480090321730,469.11,adult
13,Christina,2022-01-18,christina@hotmail.com,23470914131456,98.36,air
14,Justin,2023-01-27,justin@yahoo.com,23480916345792,351.87,special
15,Joseph,2022-06-07,joseph@gmail.com,23481258419720,241.1,must
16,Brian,2022-11-15,brian@hotmail.com,23490564280715,372.12,scientist
17,Patricia,2023-02-27,patricia@yahoo.com,23481375945992,360.65,everyone
18,Emily,2022-10-29,emily@hotmail.com,23470109352337,195.54,professional
19,Elizabeth,2023-06-08,elizabeth@hotmail.com,23470069602714,353.74,military
20,Courtney,2022-12-13,courtney@hotmail.com,23470890075470,406.43,Congress
21,Adrienne,2023-09-24,adrienne@yahoo.com,23481812066503,17.0,gas
22,Christopher,2023-08-10,christopher@gmail.com,23480319344217,428.43,just
23,Jacob,2022-11-05,jacob@hotmail.com,23480047142851,437.21,raise
24,Scott,2022-08-05,scott@gmail.com,23480034855909,331.13,race
25,Antonio,2023-07-08,antonio@hotmail.com,23470658236940,77.84,natural
26,John,2022-07-30,john@yahoo.com,23490515900422,491.14,deal
27,Christopher,2022-08-13,christopher@yahoo.com,23470824173042,429.95,more
28,Nicholas,2023-07-20,nicholas@gmail.com,23490654611877,175.17,full
29,Melissa,2023-09-12,melissa@yahoo.com,23480717604522,317.1,threat
30,Brett,2022-10-19,brett@hotmail.com,23480113306016,282.67,people
31,Willie,2022-08-14,willie@yahoo.com,23470936153492,221.3,energy
32,Lauren,2022-10-06,lauren@gmail.com,23480087317643,324.09,prove
33,Jennifer,2023-09-12,jennifer@gmail.com,23481137658219,491.66,sit
34,Lucas,2022-04-26,lucas@hotmail.com,23470687577389,466.34,road
35,Andrew,2022-01-08,andrew@yahoo.com,23490508249269,154.25,read
36,Raymond,2023-07-03,raymond@yahoo.com,23480180132040,381.86,material
37,Scott,2022-12-15,scott@yahoo.com,23481275868809,54.42,hot
38,Stephanie,2023-09-09,stephanie@hotmail.com,23480634896769,297.33,name
39,Morgan,2023-09-12,morgan@gmail.com,23480248945174,472.04,economic
40,Michael,2022-08-24,michael@yahoo.com,23470602234500,245.85,environment
41,Samuel,2022-04-20,samuel@yahoo.com,23480256097670,59.73,name
42,Heather,2023-08-28,heather@gmail.com,23480099251853,197.87,no
43,Joshua,2023-08-27,joshua@yahoo.com,23480097951942,479.65,develop
44,Jennifer,2022-10-29,jennifer@yahoo.com,23480830675375,396.88,degree
45,Alex,2022-02-28,alex@gmail.com,23480740899331,390.41,bring
46,Briana,2023-05-03,briana@hotmail.com,23470841269611,213.66,seek
47,Kenneth,2022-03-19,kenneth@yahoo.com,23481076607541,182.73,majority
48,Christina,2022-04-05,christina@yahoo.com,23480552035192,111.91,third
49,Sarah,2022-06-09,sarah@hotmail.com,23480045093227,65.07,begin
50,Derrick,2022-09-25,derrick@hotmail.com,23490203557448,321.6,figure
51,Trevor,2022-05-23,trevor@hotmail.com,23480189426223,164.79,free
52,Courtney,2022-07-08,courtney@gmail.com,23481456029061,354.06,little
53,Jennifer,2022-04-13,jennifer@yahoo.com,23490862964513,227.96,responsibility
54,Tanner,2022-10-14,tanner@hotmail.com,23480660657354,476.65,fund
55,Devin,2022-03-12,devin@gmail.com,23480418927626,221.54,compare
56,Angela,2022-07-12,angela@yahoo.com,23490825717340,416.79,fear
57,Rachel,2022-12-15,rachel@hotmail.com,23470034148926,356.08,person
58,Jessica,2023-01-02,jessica@gmail.com,23470386401400,135.72,hold
59,Christina,2023-02-13,christina@hotmail.com,23470714543910,44.52,onto
60,Teresa,2022-07-23,teresa@yahoo.com,23490183216448,75.87,two
61,Curtis,2023-02-11,curtis@hotmail.com,23481816864475,288.43,herself
62,Kirsten,2022-04-18,kirsten@gmail.com,23480166972845,319.73,among
63,Connie,2023-07-31,connie@yahoo.com,23481778570742,375.15,recent
64,Michael,2022-02-10,michael@hotmail.com,23481057608116,13.15,make
65,Robert,2022-02-01,robert@gmail.com,23480443294316,235.84,face
66,Jacqueline,2022-09-14,jacqueline@yahoo.com,23481566272852,112.34,determine
67,Ashley,2022-05-26,ashley@yahoo.com,23490667633739,357.9,evening
68,Ronald,2022-10-29,ronald@gmail.com,23481125023949,52.45,couple
69,Samantha,2023-02-02,samantha@yahoo.com,23490670886977,134.83,give
70,Paula,2023-01-05,paula@gmail.com,23490400025040,78.8,the
71,Allison,2023-09-04,allison@yahoo.com,23481968373591,307.11,low
72,Brittany,2022-03-08,brittany@yahoo.com,23490875408035,49.26,arrive
73,Barbara,2023-02-12,barbara@yahoo.com,23481344486475,437.27,change
74,Mark,2022-07-06,mark@gmail.com,23490810777067,235.65,final
75,Kevin,2022-04-02,kevin@gmail.com,23480312637916,283.92,ready
76,David,2022-11-03,david@gmail.com,23481373245561,282.96,call
77,Robin,2022-08-10,robin@hotmail.com,23481478978443,18.11,truth
78,Melissa,2023-04-23,melissa@hotmail.com,23480263340886,430.96,finish
79,Christine,2022-04-05,christine@yahoo.com,23490195384331,263.9,deep
80,Stephen,2023-06-09,stephen@yahoo.com,23481574922088,170.66,a
81,Julie,2023-03-31,julie@hotmail.com,23480262281237,289.05,music
82,Natalie,2023-06-25,natalie@gmail.com,23481236599271,311.85,western
